title,price,rating,reviews,availability,brand,category,off,bought
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","12,399.00",4.0 out of 5 stars,"3,614 ratings",Not Available,Redmi,SmartPhone,Not Available,Not Available
"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger","10,698.00",3.7 out of 5 stars,10 ratings,In stock,Samsung,SmartPhone,-31%,Not Available
"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)","24,997.00",4.2 out of 5 stars,"7,979 ratings",In stock,OnePlus,SmartPhone,-7%,3K+ bought in past month
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","1,37,900.00",4.3 out of 5 stars,166 ratings,,Apple,SmartPhone,-5%,200+ bought in past month
"Samsung Galaxy M16 5G (Thunder Black, 8GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | Super Amoled Display | 25W Fast Charging | 6 Gen. of OS Upgrades | Without Charger","14,498.00",4.1 out of 5 stars,12 ratings,In stock,Samsung,SmartPhone,-24%,Not Available
"Xiaomi 15 (Black, 12GB RAM, 512GB Storage)","30,998",Previous page,,Not Available,Xiaomi,SmartPhone,Not Available,Not Available
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","1,12,900.00",4.3 out of 5 stars,185 ratings,In stock,Apple,SmartPhone,-6%,200+ bought in past month
"Vivo V50 5G (Rose Red, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","36,999.00",4.2 out of 5 stars,145 ratings,In stock,VIVO,SmartPhone,-14%,1K+ bought in past month
"Redmi A3X (Ocean Green, 4GB RAM, 128GB Storage) | Premium Halo Design | 90Hz Display | Powerful Octa Core Processor","7,499.00",3.8 out of 5 stars,355 ratings,In stock,Redmi,SmartPhone,-32%,500+ bought in past month
"Samsung Galaxy A05 (Light Green, 6GB, 128GB Storage) | 50 MP Main Camera | Upto 12GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery","9,000.00",3.8 out of 5 stars,338 ratings,In stock,Samsung,SmartPhone,-40%,2K+ bought in past month
